iter	RMSE
0	24.80568586
1	23.42048788
2	22.21934969
3	20.97350195
4	19.93118539
5	18.91791282
6	17.73949583
7	16.60174466
8	15.84066314
9	14.89771932
10	14.0473728
11	13.25667909
12	12.56327229
13	11.98739299
14	11.56094899
15	11.10560832
16	10.45904064
17	9.98561719
18	9.486687266
19	9.12059387
20	8.759346172
21	8.364250853
22	7.929493306
23	7.605977216
24	7.283288031
25	7.072366589
26	6.900605338
27	6.688621449
28	6.453968113
29	6.21968885
30	6.024970692
31	5.80441091
32	5.714653505
33	5.533874587
34	5.410982267
35	5.256462662
36	5.088910011
37	4.955668103
38	4.879214696
39	4.737515027
40	4.604420019
41	4.468958409
42	4.364484843
43	4.274425886
44	4.167255617
45	4.05287767
46	3.954374779
47	3.897056132
48	3.846417081
49	3.764122784
50	3.681243969
51	3.604456436
52	3.561386564
53	3.486288126
54	3.421365283
55	3.333015855
56	3.256401033
57	3.191086192
58	3.137111377
59	3.098948656
60	3.053822478
61	3.006104452
62	2.940076104
63	2.894848112
64	2.834842282
65	2.804760247
66	2.770936712
67	2.717795851
68	2.673560554
69	2.626954841
70	2.588448005
71	2.548595277
72	2.492082271
73	2.456840107
74	2.423705811
75	2.410178839
76	2.381406136
77	2.346455446
78	2.31892981
79	2.291360409
80	2.255379258
81	2.228367584
82	2.19961361
83	2.178859412
84	2.153586471
85	2.130001545
86	2.099944705
87	2.077654648
88	2.058635876
89	2.023576312
90	2.00705558
91	1.995660853
92	1.969545759
93	1.957572279
94	1.937985793
95	1.919810246
96	1.90161579
97	1.867568742
98	1.859488452
99	1.840491135
100	1.815436685
101	1.790707292
102	1.771480325
103	1.75895756
104	1.74028561
105	1.716589319
106	1.703662423
107	1.693087547
108	1.685632371
109	1.675303914
110	1.657532084
111	1.647668452
112	1.633295728
113	1.626989762
114	1.6209298
115	1.592923763
116	1.584112726
117	1.575636087
118	1.551386338
119	1.539197028
120	1.525216827
121	1.513324328
122	1.501978956
123	1.491845657
124	1.48418875
125	1.479123237
126	1.473916246
127	1.467558602
128	1.460562907
129	1.45418689
130	1.432693002
131	1.425041151
132	1.41840313
133	1.406699832
134	1.398607584
135	1.394294858
136	1.381682526
137	1.375241524
138	1.363910607
139	1.349178896
140	1.341285721
141	1.335999537
142	1.321838689
143	1.306982542
144	1.295483777
145	1.289823951
146	1.280484564
147	1.27577049
148	1.269182534
149	1.260704086
150	1.252706291
151	1.24593227
152	1.243082831
153	1.235435062
154	1.22587021
155	1.216004834
156	1.210723157
157	1.208196152
158	1.205245135
159	1.195073515
160	1.183862199
161	1.176686834
162	1.171193578
163	1.164352231
164	1.158433388
165	1.151493896
166	1.14498866
167	1.134464392
168	1.125994787
169	1.122936546
170	1.114979021
171	1.107272508
172	1.10010515
173	1.091671048
174	1.087629031
175	1.078739528
176	1.074227804
177	1.069221417
178	1.063976617
179	1.05696249
180	1.053085185
181	1.04711439
182	1.038364816
183	1.034836802
184	1.031866723
185	1.025303351
186	1.021560432
187	1.018696514
188	1.01258352
189	1.010227973
