iter	Passed	Remaining
0	1	1211
1	2	1026
2	3	1029
3	3	987
4	4	957
5	5	930
6	6	921
7	7	912
8	8	891
9	8	887
10	9	878
11	10	869
12	11	869
13	12	862
14	13	862
15	14	865
16	14	862
17	15	858
18	16	853
19	17	846
20	18	841
21	18	835
22	19	832
23	20	828
24	21	823
25	21	818
26	22	820
27	23	815
28	24	811
29	24	807
30	25	802
31	26	797
32	27	793
33	27	790
34	28	788
35	29	788
36	30	785
37	30	781
38	31	778
39	32	775
40	33	772
41	33	770
42	34	766
43	35	765
44	35	763
45	36	762
46	37	761
47	38	760
48	39	758
49	39	756
50	40	754
51	41	753
52	42	751
53	42	749
54	43	748
55	44	746
56	44	744
57	45	742
58	46	740
59	47	738
60	47	736
61	48	733
62	49	732
63	50	732
64	50	730
65	51	728
66	52	727
67	52	725
68	53	723
69	54	722
70	55	720
71	55	719
72	56	717
73	57	716
74	57	715
75	58	713
76	59	712
77	60	711
78	60	710
79	61	709
80	62	708
81	63	708
82	64	707
83	64	705
84	65	703
85	66	703
86	66	702
87	67	701
88	68	699
89	69	698
90	69	696
91	70	695
92	71	694
93	71	693
94	72	691
95	73	690
96	74	689
97	74	689
98	75	689
99	76	688
100	77	686
101	77	686
102	78	685
103	79	684
104	80	683
105	80	682
106	81	681
107	82	680
108	83	680
109	83	678
110	84	677
111	85	676
112	86	675
113	86	674
114	87	673
115	88	673
116	89	672
117	89	672
118	90	670
119	91	669
120	92	669
121	92	668
122	93	668
123	94	667
124	95	667
125	96	667
126	96	666
127	97	665
128	98	664
129	99	663
130	99	662
131	100	662
132	101	661
133	102	660
134	102	659
135	103	658
136	104	657
137	105	656
138	105	655
139	106	654
140	107	653
141	108	652
142	108	651
143	109	650
144	110	649
145	110	648
146	111	647
147	112	646
148	113	646
149	113	645
150	114	643
151	115	643
152	116	642
153	116	641
154	117	640
155	118	639
156	118	638
157	119	637
158	120	636
159	121	635
160	121	634
161	122	633
162	123	632
163	123	631
164	124	630
165	125	629
166	126	628
167	126	628
168	127	627
169	128	626
170	129	625
171	129	624
172	130	623
173	131	622
174	131	621
175	132	621
176	133	620
177	134	619
178	134	618
179	135	617
180	136	616
181	136	615
182	137	614
183	138	613
184	139	613
185	139	612
186	140	611
187	141	610
188	142	609
189	142	608
190	143	607
191	144	606
192	144	605
193	145	605
194	146	604
195	147	603
196	147	602
197	148	602
198	149	601
199	150	600
200	150	599
201	151	598
202	152	597
203	153	597
204	153	596
205	154	595
206	155	594
207	155	593
208	156	592
209	157	591
210	158	590
211	158	590
212	159	589
213	160	588
214	160	587
215	161	586
216	162	585
217	163	584
218	163	584
219	164	583
220	165	582
221	165	581
222	166	580
223	167	579
224	167	578
225	168	577
226	169	576
227	170	576
228	170	575
229	171	574
230	172	573
231	173	572
232	173	571
233	174	571
234	175	570
235	175	569
236	176	568
237	177	567
238	178	567
239	178	566
240	179	565
241	180	565
242	181	564
243	181	563
244	182	562
245	183	561
246	184	561
247	184	560
248	185	560
249	186	559
250	187	558
251	187	557
252	188	557
253	189	556
254	190	556
255	191	555
256	191	555
257	192	554
258	193	553
259	194	553
260	195	552
261	195	551
262	196	550
263	197	550
264	198	549
265	198	548
266	199	547
267	200	546
268	200	545
269	201	545
270	202	544
271	203	543
272	203	543
273	204	543
274	205	542
275	206	542
276	207	542
277	208	541
278	209	541
279	210	540
280	211	540
281	212	539
282	212	539
283	213	538
284	214	538
285	215	537
286	216	536
287	216	536
288	217	535
289	218	535
290	219	534
291	220	533
292	220	532
293	221	532
294	222	531
295	223	530
296	223	529
297	224	529
298	225	528
299	225	527
300	226	526
301	227	525
302	228	524
303	228	523
304	229	523
305	230	522
306	231	521
307	231	520
308	232	520
309	233	519
310	234	518
311	234	517
312	235	516
313	236	516
314	236	515
315	237	514
316	238	513
317	239	512
318	239	512
319	240	511
320	241	510
321	241	509
322	242	508
323	243	507
324	244	506
325	244	506
326	245	505
327	246	504
328	247	504
329	247	503
330	248	502
331	249	501
332	250	501
333	250	500
334	251	499
335	252	498
336	253	497
337	253	497
338	254	496
339	255	495
340	255	494
341	256	493
342	257	492
343	257	491
344	258	491
345	259	490
346	260	489
347	260	488
348	261	488
349	262	487
350	263	486
351	264	486
352	264	485
353	265	484
354	266	483
355	267	483
356	268	482
357	268	481
358	269	481
359	270	480
360	270	479
361	271	479
362	272	478
363	273	477
364	274	476
365	274	476
366	275	475
367	276	474
368	277	474
369	277	473
370	278	472
371	279	471
372	280	470
373	280	470
374	281	469
375	282	468
376	283	467
377	283	467
378	284	466
379	285	465
380	286	464
381	286	464
382	287	463
383	288	462
384	288	461
385	289	460
386	290	460
387	291	459
388	291	458
389	292	457
390	293	456
391	294	456
392	294	455
393	295	454
394	296	453
395	296	452
396	297	451
397	298	451
398	298	450
399	299	449
400	300	448
401	301	447
402	301	447
403	302	446
404	303	445
405	303	444
406	304	443
407	305	443
408	306	442
409	306	441
410	307	440
411	308	440
412	309	439
413	310	438
414	310	437
415	311	437
416	312	436
417	312	435
418	313	434
419	314	434
420	315	433
421	315	432
422	316	431
423	317	430
424	317	430
425	318	429
426	319	429
427	320	428
428	321	427
429	322	426
430	322	426
431	323	425
432	324	424
433	325	423
434	325	423
435	326	422
436	327	421
437	328	420
438	328	420
439	329	419
440	330	418
441	331	417
442	331	417
443	332	416
444	333	415
445	333	414
446	334	414
447	335	413
448	336	412
449	336	411
450	337	410
451	338	410
452	338	409
453	339	408
454	340	407
455	341	406
456	341	406
457	342	405
458	343	404
459	344	403
460	344	403
461	345	402
462	346	401
463	346	400
464	347	400
465	348	399
466	349	398
467	349	397
468	350	396
469	351	396
470	351	395
471	352	394
472	353	393
473	354	392
474	354	392
475	355	391
476	356	390
477	356	389
478	357	388
479	358	388
480	359	387
481	359	386
482	360	385
483	361	385
484	361	384
485	362	383
486	363	382
487	364	382
488	364	381
489	365	380
490	366	379
491	366	378
492	367	378
493	368	377
494	369	376
495	369	375
496	370	374
497	371	374
498	371	373
499	372	372
500	373	371
501	374	371
502	374	370
503	375	369
504	376	368
505	377	368
506	377	367
507	378	366
508	379	366
509	380	365
510	381	364
511	381	363
512	382	363
513	383	362
514	384	361
515	385	361
516	385	360
517	386	359
518	387	359
519	388	358
520	389	357
521	390	357
522	390	356
523	391	355
524	392	355
525	393	354
526	394	353
527	395	353
528	395	352
529	396	351
530	397	351
531	398	350
532	399	349
533	399	349
534	400	348
535	401	347
536	402	346
537	403	346
538	403	345
539	404	344
540	405	344
541	406	343
542	407	342
543	408	342
544	409	341
545	410	340
546	410	340
547	411	339
548	412	339
549	413	338
550	414	337
551	415	336
552	415	336
553	416	335
554	417	334
555	418	334
556	419	333
557	420	332
558	420	331
559	421	331
560	422	330
561	423	329
562	423	329
563	424	328
564	425	327
565	426	326
566	427	326
567	428	325
568	428	324
569	429	324
570	430	323
571	431	322
572	432	321
573	432	321
574	433	320
575	434	319
576	435	319
577	436	318
578	437	317
579	437	317
580	438	316
581	439	315
582	440	315
583	441	314
584	442	313
585	442	312
586	443	312
587	444	311
588	445	310
589	446	310
590	447	309
591	448	308
592	449	308
593	450	307
594	451	307
595	452	306
596	453	305
597	454	305
598	454	304
599	455	303
